llm_model,model_pretty,ablation,ablation_pretty,modality,combo_model,prob,nrmse,w_img
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text_image,Bayes(stimulus),0.4773912758407463,0.41562807452267203,0.47924729941394817
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text_image,EmpiricalLinear,0.0056781684097042,0.4675611570695682,0.5594183874205405
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_7,Longer Context,text_image,Equal,0.0016807860429979,0.46187341932372444,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text_image,EmpiricalLinear,0.999999680658778,0.48755832479347727,0.31015770802923126
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text_image,Bayes(range),3.1730396438200074e-07,0.49935586709183727,0.3719678428732438
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text_image,Equal,2.0372577049890403e-09,0.5704738745647162,0.5
meta-llama_llama-4-maverick,Llama 4 Maverick,base_7,Longer Context,text_image,Bayes(stimulus),0.0,0.48568728288695473,0.6149557787556343
openai_gpt-4o-2024-08-06,GPT 4o,base_7,Longer Context,text_image,EmpiricalLinear,1.0,0.2745317051243755,0.9126771832022678
openai_gpt-4o-2024-08-06,GPT 4o,base_7,Longer Context,text_image,Bayes(range),5.367143765428834e-44,0.34486193565914985,0.7162845744262136
openai_gpt-4o-2024-08-06,GPT 4o,base_7,Longer Context,text_image,Bayes(stimulus),1.5150141217264357e-89,0.4599493550665415,0.6650093358551175
openai_gpt-4o-2024-08-06,GPT 4o,base_7,Longer Context,text_image,Equal,6.259557399386837e-106,0.5699576353690903,0.5
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_7,Longer Context,text_image,EmpiricalLinear,0.999412186828062,0.516834162331467,0.8730989583824422
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_7,Longer Context,text_image,Bayes(stimulus),0.0005874809559031,0.4155085319770102,0.7910771357051305
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_7,Longer Context,text_image,Bayes(range),3.3221603473499585e-07,0.40932552170193787,0.7575186728615639
qwen_qwen2.5-vl-32b-instruct,Qwen2.5 VL 32B,base_7,Longer Context,text_image,Equal,1.5422250144919232e-25,0.49967530468852034,0.5
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,Bayes(range),0.9663927623206526,0.02208415829830788,0.013063289403831035
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,EmpiricalLinear,0.0336072376793473,0.022082370529829858,0.007962314634330109
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,Bayes(stimulus),5.757487092835753e-116,0.08827883210255409,0.27031363492600247
GPT-5 Mini,GPT 5 Mini,base_7,Longer Context,text_image,Equal,1.1772157284452386e-133,0.10144701147852646,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text_image,EmpiricalLinear,1.0,1.4069966349431138,0.5286710382569053
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text_image,Equal,5.3528086636669525e-37,0.8082639397051656,0.5
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text_image,Bayes(stimulus),2.1925895397827198e-55,1.1547635612591307,0.30606089659819297
microsoft_phi-4-multimodal-instruct,Phi 4 Multimodal,base_7,Longer Context,text_image,Bayes(range),5.9946229826184854e-80,0.569830971572841,0.10875241589861473
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_7,Longer Context,text_image,EmpiricalLinear,1.0,0.40937470729846664,0.530155831771398
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_7,Longer Context,text_image,Bayes(stimulus),6.641624468405316e-36,0.5634579404057041,0.6055903269004577
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_7,Longer Context,text_image,Bayes(range),1.710907279007764e-40,0.6638056513726893,0.5015024974695922
mistralai_mistral-small-3.2-24b-instruct,Mistral 24B,base_7,Longer Context,text_image,Equal,1.3001929266088938e-41,0.6720350142347766,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,EmpiricalLinear,0.9756407480371344,0.19089511290439715,0.6371804563052614
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,Bayes(range),0.0243505494117829,0.18978202881160028,0.7195754634215898
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,Equal,8.702551082653903e-06,0.21300610872638392,0.5
anthropic_claude-3.7-sonnet,Claude 3.7 Sonnet,base_7,Longer Context,text_image,Bayes(stimulus),1.0629678511452995e-22,0.23809750479834887,0.7539914224411756
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text_image,EmpiricalLinear,1.0,3.681466895448202,0.15581212108843354
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text_image,Equal,4.86424292466405e-110,1.9775094110850178,0.5
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text_image,Bayes(stimulus),6.275933627189378e-112,1.9735724287415402,0.29877347477797456
gemma-3-4b-it,Gemma 3 4B it,base_7,Longer Context,text_image,Bayes(range),2.6347065868744884e-117,1.702574013447063,0.2422615694053446
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Inconsistent Prior,text_image,EmpiricalLinear,0.99998398907836,0.4004575056668794,0.48426615820901875
google_gemini-2.5-flash-lite,Gemini 2.5 Flash Lite,base_6,Inconsistent Prior,text_image,Equal,1.5290607218261405e-05,0.37856585276226684,0.5
